FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL10,NL11,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,PB1,PB2,PB3,PB4,isotopes,adduct,pcgroup,Omic,Polarity
661,392.07351433103514,344.8800354003906,0,4357.8807852572245,4903.55213904189,5207.30138066192,5438.018689752766,4734.179585064386,6131.819473821972,7337.256043623177,5370.907989452387,4929.802400818018,5761.615165435591,3946.915622764819,5998.677981358296,0,0,0,0,0,0,5362.341591572316,0,0,0,0,[51][M+1]-,,316,Mx,Negative
662,392.2891095497118,50.04959678649902,32027774.595794037,29453450.45132116,36887222.094113186,31737159.597014993,37385299.46834613,34784827.79782302,36706320.54081868,35214693.87827008,32617147.277819935,31649400.572392907,32483728.822494835,33260188.442360472,37049395.531257525,38315916.450252466,29249128.268317107,38065982.70441242,32613813.57606202,31217952.890436884,36768437.97524787,25212401.259868953,0,0,0,0,[52][M+1]-,,1,Mx,Negative
663,392.28844901558165,198.73394775390625,405219.7757926476,237406.25276670832,0,1276423.7038684308,405854.7698976545,43516.86193203839,43193.76517451547,40118.32532721466,0,0,0,432743.34039157757,0,0,176524.82370022906,65820.19890566365,303217.09322350996,439551.4451388376,0,32765.490333845675,0,0,0,0,[53][M+1]-,,236,Mx,Negative
664,392.28849691132496,178.9454803466797,0,0,72820.64554628401,0,0,59994.84376420756,56196.179428691525,55235.46517807175,86197.16287013808,63667.282591924675,87001.21198909148,0,61790.7256563858,84790.93668849528,0,64809.776117522284,0,0,68042.0947262562,44326.484500816645,0,0,0,0,,,87,Mx,Negative
665,392.87625075479093,534.2908935546875,3704.464860302418,5235.1854942621185,382974.1620969883,2182.8667180318193,85495.45390954129,110554.81996719811,3434.9510034242353,60776.09018373375,5347.55553615488,126892.04067550274,114185.12192304728,3080.221284989767,141606.09888108735,3699.084801679809,3322.55743446711,3109.391124517867,413826.74466291367,110136.81762190907,122944.88395452492,3842.408565520722,0,0,0,0,,,567,Mx,Negative
666,392.87619589939527,648.8063049316406,0,52769.71925189991,0,76224.551054254,82864.41726110411,43573.41590837578,60271.27568546365,0,73000.44627616371,78691.61188641858,72275.80426042239,80273.49088920627,55308.18818187224,0,93734.32086164839,71359.51149264841,0,92589.818908266,0,75845.48708012051,0,0,133078.99853034504,111061.61842717123,,,602,Mx,Negative
667,392.8763252182955,629.75201416015625,73330.84746783867,69672.51059337091,0,64400.53589590108,70521.75782487032,53215.408676282816,53710.2314932693,0,54800.49201741797,61259.21957091955,0,67351.32384758304,57629.99187281193,0,0,73503.7256678526,0,64553.09651067546,0,0,0,111955.10708426846,0,0,,,581,Mx,Negative
668,392.8793180486013,323.96661376953125,4165.581229305019,3414.6168190697517,0,4039.901722932383,4742.945241827622,0,4263.547570525504,0,0,4222.539598309742,4686.914157233617,4649.27891189903,0,0,3720.2740465317042,0,0,3288.3968434007943,0,4396.885304388409,0,0,0,0,,,690,Mx,Negative
669,392.8762784170978,596.2279968261719,0,0,0,102843.96540633525,91419.03188590972,100726.10016550242,49014.84459799137,84028.31013678153,79020.0873728909,3461.2650188337593,4540.700059168875,49558.75816324901,89496.77090115481,0,122069.30688785456,0,0,51774.18843611888,0,56919.534948550485,0,0,0,0,,,442,Mx,Negative
670,392.8761666444544,699.8291931152344,0,0,0,178023.34294588922,48162.13071068244,8026.334517592551,193120.1161397511,206391.0455683812,78350.36957559109,149510.60367457557,69586.71662010498,8437.101454246362,10010.776671446343,0,131725.5130826682,170761.3617851095,51032.40578314775,62625.14548687313,0,262987.9194975019,65433.29348382362,0,0,51919.42316260579,,,420,Mx,Negative
671,392.87626890576314,814.9933166503906,0,0,0,149749.5639725565,11945.061424079848,0,93336.9067962652,94815.82169065799,59925.51155204113,12064.847602712542,45451.86979119244,187792.65706602743,194489.45856398655,0,104091.00254454515,144689.60195643982,4914.952835545616,10886.751312481892,0,129485.30441062721,3844.6018075853735,45246.557311352255,0,8849.613278209106,,,500,Mx,Negative
672,392.87623960687665,781.82635498046875,0,0,0,0,123101.4696934831,24777.690855821922,108010.73246536074,0,90936.93287015097,140922.8374998888,14077.871133162533,0,0,0,99117.9967246528,0,151943.07476775025,21013.26892359019,0,0,1997.2676311022876,0,0,152956.18577805365,,,561,Mx,Negative
673,392.8763424572013,753.37000000002,0,0,0,110691.86958452749,0,78974.96712432335,0,0,41297.64556118486,0,84811.40902906048,146806.60013072297,89897.96866771978,0,116912.30919689318,0,55232.036600026244,10422.174197269205,0,0,13327.092957566758,0,0,72472.81280414788,,,642,Mx,Negative
