FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL10,NL11,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,PB1,PB2,PB3,PB4,isotopes,adduct,pcgroup,Omic,Polarity
11,76.07565813379635,205.1036834716797,12097.587775275324,17621.621821912486,16466.229922767685,0,21120.828461740304,9956.391529773793,26582.728504010163,15795.899588663215,74659.37294721475,46744.43370839067,106951.6114478871,23303.160519868718,0,0,62009.45048480489,203610.16702345057,86810.29067861004,0,166044.93236245489,156540.54942818437,0,0,0,0,,,746,Mx,Positive
12,77.09117045431717,178.4154815673828,147572.9668678879,179343.0463937891,177082.65246383916,191485.4044974042,0,159572.72914286115,173937.75844369348,171235.87432222298,157915.887144401,194548.8374916748,169133.87247605374,0,180232.71363239078,175849.56462911304,211869.13073644295,181460.6595757441,193083.6898807422,148156.70321182898,176416.3544742071,167806.42633277172,0,0,0,0,,,38,Mx,Positive
13,77.09101573926864,194.2716064453125,129946.77899630238,147340.45838687004,0,142457.18357794936,209829.6542342454,139301.98235229208,135859.60728475943,0,124171.30461156015,163808.82271586108,151054.47501371638,263090.9661896198,152483.5845955733,168084.02448425168,0,129142.42115507089,0,137557.36635950636,11616.459716021547,108236.38112444863,0,0,0,0,,,813,Mx,Positive
14,84.04372871712599,388.72987365722656,0,4888.5655902629105,3907.0526411636065,4767.399685742337,4255.959191565799,5579.5807853383685,8204.010948838826,13762.547721709712,6426.420506063541,3777.236321613605,4454.9800542432695,0,4172.123330453493,0,0,2679.6267885748916,0,0,0,4364.2765590282615,0,0,0,0,,,431,Mx,Positive
15,90.05446800817862,306.5649871826172,19946.618073707315,29047.42224993069,31284.686389967468,30401.28894619091,27121.51918678184,33596.32137898312,38296.746325547814,42777.00316894736,39880.2266095922,28430.424512008536,31521.437446925098,23645.052928668745,33845.79312777768,22050.47504893769,10951.450086322482,16219.355056465114,13352.4203661582,12422.393201450494,13536.234896580125,36713.378927388854,0,0,0,0,,,24,Mx,Positive
16,98.97436340321332,18.756179809570312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11517.533678735559,0,0,1198.3676316593267,0,5265.58444776202,15193.75726412223,,,156,Mx,Positive
17,98.97461058926724,60.18846893310547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10791.763248766982,25262.226200503846,0,7422.440120448019,,,646,Mx,Positive
18,103.79125323713349,220.02099609375,3298.4044772649713,0,0,0,3303.971414968686,4222.064810634055,5133.4960541497,7198.838192153659,4777.9200755772235,3230.015794823184,3253.9021478193536,3520.21541830675,0,0,2563.6500541105543,3258.6945342530917,2352.0278971329553,1828.5334906331773,2943.7214564880173,4305.0896185731335,0,0,0,0,,,40,Mx,Positive
19,104.1069911238733,220.04788208007812,514259.64005094545,416367.92381039466,401065.1620042509,450349.8844043378,613796.1848654415,667348.4302200031,799371.857514404,1181530.8851630015,757340.0906823946,493500.82729125884,491889.76918487187,405234.0874839297,424179.2082993767,220036.87278189257,306879.0113744823,468163.43259765144,345686.95985801343,177664.25505316412,428322.55341037514,578269.4644323603,0,0,0,2004.9124756497663,[1][M]+,,40,Mx,Positive
20,104.99179394978468,342.53759765625,137018.60216301412,130886.47107477166,125745.12234530898,133856.59251239282,140743.19805863747,124279.8669668549,144753.23703081912,130257.95514541665,132890.4767313727,138043.73209233253,142756.91405655985,131406.22113702755,124744.08607828268,121800.73362308163,129427.15284878212,148812.45182976045,138521.18954384478,126197.60907675039,138382.4719191342,122217.67133918474,0,0,0,18008.899997753524,,,17,Mx,Positive
