FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
7071,763.453765,1.05,Positive,287892,302946,228994,312994,179845,191142,217508,261773,332436,158536,159435,237284,178577,154772,202199,229134,159579,221559,258340,188770
7073,763.468275,11.62,Positive,99401,87739,56847,119881,0,93231,102721,0,131420,85533,116752,101037,131928,147567,131126,107269,105154,93966,96132,105605
7072,763.468803,12.57,Positive,465286,329428,224881,267372,250488,185363,186944,262797,254372,219136,158660,139235,379859,296175,260981,176270,149705,140092,138069,134641
7075,763.529369,7.56,Positive,120155,146257,0,98180,99616,0,0,0,0,106123,78673,116582,0,99055,110660,80700,84062,103560,96729,102787
7076,763.544621,9.44,Positive,214345,221162,393184,0,169925,0,228639,212102,0,37438,16614,102414,0,11079,100284,180737,25292,60723,165418,29348
7079,763.581326,13.45,Positive,9277,35865,41398,0,3506,14426,34441,4394,0,0,0,11322,44664,0,22331,15946,0,0,0,0
7085,763.66187,14.49,Positive,520552,1069927,1419007,231994,991950,395271,1226993,332925,0,65456,16885,210719,637909,0,271087,82588,28434,121442,41767,11251
7086,763.661987,13.75,Positive,0,0,0,0,0,0,0,0,0,0,18765,0,0,8709,0,0,0,0,0,18275
7087,763.84278,17.99,Positive,0,26827,21999,23069,12423,18943,19883,21943,21179,18062,9127,15856,17525,24949,0,20011,15575,18190,21622,20407
7089,764.288284,11.01,Positive,7655,5678,3169,6695,3992,3837,0,4839,6120,7177,6415,4491,7449,8731,7137,5607,4896,5031,5311,6137
7090,764.305767,15.71,Positive,53523,109953,116704,25481,92322,39490,115285,22673,16697,0,0,6407,14334,0,5734,4557,0,4705,0,0
7093,764.470891,11.61,Positive,0,0,0,0,0,0,0,38349,0,0,0,0,0,0,0,0,0,0,0,0
7092,764.471239,12.57,Positive,0,0,0,0,0,0,0,64814,0,0,0,0,0,0,0,0,0,0,0,0
7094,764.522598,8.47,Positive,8877741,6967507,10563147,6629932,6090615,7745758,7025389,6743563,7563490,3142864,1629658,5737858,8472414,2066860,5682702,5855173,2228717,4413747,6851365,2464159
7096,764.531462,20.27,Positive,8982,9141,0,0,7076,8622,7847,7558,8842,0,8258,10783,0,0,9626,7325,9937,6432,11568,8484
7095,764.536465,10.7,Positive,42528,45748,37060,38020,29046,36044,35784,36439,37078,43269,39202,45181,40937,45433,45854,43542,40619,51066,51120,42334
7098,764.541917,7.55,Positive,1261589,1395442,0,1270726,992155,1023156,0,0,0,1404817,1082599,1131489,1426608,1395580,1403984,1263415,1118710,1172742,0,1274884
7099,764.554957,9.58,Positive,0,235565,0,0,190418,0,184677,0,0,0,0,0,0,0,0,0,0,0,0,0
7100,764.560726,7.09,Positive,0,5356,0,0,3593,2570,3857,4300,0,4724,0,0,3726,3503,3978,0,0,0,0,3384
