FeatureID,mzmed,rtmed,Polarity,L1_mean,L2_mean,L3_mean,L4_mean,L5_mean,L6_mean,L7_mean,L8_mean,L9_mean,NL1_mean,NL10_mean,NL11_mean,NL2_mean,NL3_mean,NL4_mean,NL5_mean,NL6_mean,NL7_mean,NL8_mean,NL9_mean
519,408.309105,0.82,Positive,0,66044,103632,103603,82092,87947,97383,92432,102875,105453,105898,0,105028,174749,95388,108700,114417,74051,100589,99933
520,408.309184,1.09,Positive,131171,0,70049,83008,69199,65069,75720,65545,66203,74232,67987,77921,0,0,68519,77678,74758,0,71868,64244
521,409.056779,0.83,Positive,90756,0,104070,79823,86895,56546,75053,74657,115886,73623,113351,47507,62527,101922,105860,119168,119471,89894,110994,74975
525,409.164914,8.41,Positive,0,0,0,0,171082,0,0,0,0,0,0,138938,0,0,0,0,0,0,0,0
524,409.165081,10.79,Positive,0,173156,147273,195123,207078,168855,395606,0,207725,0,0,0,155337,151737,0,203475,0,0,0,163956
522,409.165184,7.69,Positive,811828,393006,386878,362022,144458,210976,209008,199866,285362,335894,339167,220311,358185,496354,727013,395169,313288,573882,687527,240843
523,409.165201,6.69,Positive,0,139752,78699,89858,0,0,108382,100019,113943,122545,118526,80466,81639,72617,0,73555,0,0,0,0
526,409.269419,5.39,Positive,0,6526,6786,6533,0,6966,7748,0,7077,7330,7068,0,6848,5739,5367,6879,5552,0,5677,0
528,409.310702,0.82,Positive,0,0,0,0,0,0,0,29267,37556,31698,0,0,31826,0,0,38919,35701,26068,31688,30849
540,410.16638,11.69,Positive,0,0,0,0,0,15280,0,0,7985,0,0,25055,0,35907,17971,0,0,60797,0,0
533,410.166624,14.77,Positive,0,5616,0,29349,10395,0,42394,32317,0,22996,23364,12039,20325,21847,2548,0,14842,0,47964,22095
531,410.166637,14.3,Positive,3270,0,0,28548,0,0,4722,20141,24443,19125,0,22095,46970,0,28009,0,21592,24556,0,18210
539,410.166676,12.88,Positive,0,0,0,0,22915,21453,0,0,0,0,0,3798,0,0,0,0,16874,19047,0,0
537,410.166692,13.88,Positive,0,45393,6317,0,43472,0,0,20397,0,22910,24286,22886,0,2822,33084,0,22640,17538,0,25659
529,410.166711,15.59,Positive,36150,0,0,31810,0,0,0,17919,22226,35652,5384,29923,3692,22727,28504,0,19083,20227,0,11930
534,410.166799,13.48,Positive,0,3090,8816,16371,33801,0,0,0,0,4451,0,27439,52595,0,27722,0,18609,36119,0,0
532,410.166848,16.8,Positive,22551,0,0,0,20514,0,0,47562,0,12110,27696,22490,2014,33068,0,0,26366,31789,0,0
538,410.167032,19.17,Positive,0,0,0,0,12010,0,0,10626,0,0,0,6837,0,0,3109,0,0,0,0,0
542,410.167061,19.88,Positive,0,0,0,0,11620,0,0,0,15313,0,0,0,0,0,0,0,0,0,0,0
530,410.167152,16.31,Positive,0,0,0,0,8023,0,0,14664,19872,29619,0,15038,14004,32013,0,0,15184,8710,34312,0
541,410.167289,19.46,Positive,0,0,0,0,15895,0,0,10385,12956,0,0,0,0,0,0,0,0,0,0,0
543,410.167626,3.35,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,14327,0,0,0,0,0,0
551,410.324692,0.43,Positive,0,18102372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,410.325555,5.24,Positive,0,275179,156244,260378,0,137576,285470,78721,0,80101,0,0,192284,138463,251855,155595,202235,0,236451,192527
547,410.325635,3.53,Positive,342406,154857,156368,494909,156485,0,178328,146183,0,152834,201469,312163,191502,0,115148,0,472283,0,0,125339
548,410.325776,3.25,Positive,0,191147,219576,0,218008,0,227165,186880,0,153563,247273,0,246634,226018,178811,431539,0,159761,236569,147383
549,410.325842,4.02,Positive,0,178293,190142,0,0,482309,248808,215361,880897,198465,217713,9482,197336,0,0,0,0,127145,229271,190164
550,410.326108,2.65,Positive,929568,0,506909,0,0,0,0,572344,0,0,0,130166,0,220870,353580,184568,0,438925,517521,396919
