FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NL11,Blank_1,Blank_2,Blank_3,Blank_4
LP0018,605.5462066,17.02016667,2408.628433,3937.491512,2476.362187,2389.943059,9063.572536,3971.183239,11841.50621,9388.713717,6249.285525,35917.74617,12391.37743,7199.472104,7927.585732,12759.96758,9042.182664,6810.05196,6203.723491,20854.63266,17866.54313,11971.98641,249.7713444,7.444524128,5.914756218,7.59256252
LP0019,605.5394622,16.69916667,755.2983076,1153.856196,983.8355113,946.7934547,2650.545634,1111.282235,2430.366615,2294.761876,2059.796261,2477.34416,1214.006285,885.5456554,860.294396,964.8039457,841.7530801,118.2173177,674.5531707,1953.588578,1791.783148,1432.10407,28.06626624,9.543938386,5.609791671,8.380014457
LP0020,603.5319521,16.88458333,13504.12838,21108.86602,17715.37051,20315.03955,74157.21495,25177.34463,41275.94042,43636.52754,48769.82686,54997.10456,18545.58825,15559.07754,20795.13159,23724.85828,20871.10849,13090.20923,17902.87837,42209.16952,31803.09329,29365.70125,1237.819148,3.845432668,3.298146758,4.667481882
LP0021,601.5156686,16.4506,1409.644148,2632.598043,1842.317126,2032.346108,7086.991707,3372.211095,6767.620429,6456.079377,6177.040238,22611.79546,5090.108599,3550.713206,4250.71319,4629.48213,3318.0829,2826.141134,2915.826703,12153.92357,9225.646526,6355.352477,66.20946311,11.80848113,7.343476151,9.992340543
LP0022,376.2593318,0.842758333,44852.18646,28473.60988,35562.70871,36989.29678,47465.08095,38064.75485,36057.78448,37383.37133,27304.99983,30215.29693,35387.67497,35565.0635,28230.39381,34353.42392,26363.31364,39218.68382,31406.72002,37744.28395,30723.90441,30916.0838,5.949870331,7.917943758,8.046272958,8.389638541
LP0023,601.5172095,15.16213333,1819.752462,3946.964147,1160.806275,2147.007016,1610.502952,4400.347542,3351.666936,8212.176819,2660.768111,3357.423888,7177.03422,6288.355131,264.8822457,374.3634434,286.5496813,198.8767579,221.9045384,2450.014806,2761.366538,1573.856425,61.75395783,11.09730924,10.58294434,7.722268826
LP0024,601.5172383,14.72471667,742.691433,1225.726098,620.0582871,698.1607784,738.088302,1386.630068,1330.216867,3434.957609,849.8602809,5169.739386,1854.877303,6353.84089,221.9663168,446.5612636,263.3143847,163.4873457,199.6239982,2791.763599,3271.208869,1438.138624,31.68126016,7.399560895,4.869964295,5.69948376
LP0025,601.5159329,16.74366667,2832.35729,4377.420284,6744.204986,3387.8755,12491.28595,3955.795146,10370.52775,9567.491156,9534.849687,31773.68185,12572.82839,11015.1052,11561.61791,13450.2226,10698.32852,8698.456787,9891.920803,24439.39248,21445.03259,13804.60761,293.145791,7.765271878,5.513798617,7.427155872
LP0026,599.500348,16.49721667,361.7653126,565.6896975,403.4677031,429.9701749,1575.900621,750.9222184,1682.725271,1486.241397,1349.260649,13312.7842,3355.060859,2498.893769,2771.258248,2915.79241,2209.415473,2089.236313,2028.625907,7946.749385,5700.772958,3486.850597,37.47832668,4.273917465,3.532940146,3.581886534
LP0027,594.6512312,17.36783333,2321.146396,1619.173796,1966.905919,2120.68852,2144.084595,1705.008483,1848.704702,1881.964846,1356.790836,1654.393809,1739.331688,1857.278227,1566.470928,1838.766636,1497.353114,1658.146632,1611.382051,1709.673752,1574.567873,1582.603514,43.57771341,2.021356197,1.670835765,1.946434677
LP0028,591.5310122,16.93833333,1611.762359,2818.760587,2961.573708,1891.989168,10485.13718,2878.028921,6204.466196,5509.281212,5171.928812,5649.708793,2545.25104,1784.753569,1201.95559,1260.693975,1141.276138,695.1472832,1654.433568,3620.041484,3338.679227,1732.108896,46.82595031,5.408345942,2.880689273,4.337478706
LP0029,591.4948938,11.79620833,1161.758407,2698.46975,2927.360703,2224.150087,4184.180761,3464.058129,2205.116997,3342.496005,2590.917648,6268.822901,4819.628865,4289.809535,3785.530059,5490.719414,3903.433799,3764.671725,3523.424938,4733.943414,3639.587359,4224.740515,26.9107054,3.833391372,3.181286164,4.240293752
LP0030,589.5159466,16.80383333,801.1843057,1767.853411,1421.70722,1088.683915,5322.7545,1899.510014,5065.775851,6822.330128,4566.111734,5103.152148,1616.245723,902.2222604,1036.265754,1170.855486,920.3856699,600.4409577,851.5227463,3300.314227,2247.162705,1636.6405,41.83179697,3.478107996,3.60699776,2.90978691
LP0031,589.4835312,10.84836667,1372.38039,4737.407008,3962.641981,2676.453947,10385.59789,6188.483559,11129.69354,8225.940851,10540.56984,3344.359163,1370.449176,2008.393765,1068.255039,4384.299696,869.7425376,928.1300915,1150.572283,981.3598686,1622.73237,1901.729807,14.16161559,2.143489407,2.584529912,2.664002151
LP0032,588.5562964,11.336725,3384.753021,2459.37274,3274.241541,3201.874167,3499.09676,2733.313388,3066.144583,3482.348505,2353.875795,3174.344441,2857.986023,2890.792966,2473.842438,3074.977497,2336.592408,2969.083219,2724.300946,3280.92828,2520.494502,2886.191943,1.17355945,0,0,0.071054495
LP0033,369.3501896,17.007,420855.829,293245.428,330717.7751,753859.4803,260388.6984,291125.4753,76630.2458,490730.6588,449300.6113,27598.06823,55433.96218,76325.99147,79125.85371,75006.20834,69088.32512,93645.68024,90629.57359,41873.10493,50492.98887,55036.96573,720.1919075,7.410608118,5.380808171,6.013340601
LP0034,585.2401244,6.689716667,10556.12152,6474.946991,8786.095068,6062.688927,12326.38142,19161.8113,6372.464144,6552.703934,6054.993379,11255.83758,4974.961367,4339.493657,4932.871315,7139.536428,5578.765043,12870.46353,4828.30372,11576.4792,5706.264388,5526.756111,8.772659522,4.459447335,7.076864153,5.995899987
LP0035,580.6366411,17.32033333,5678.131213,4086.049366,4996.438181,5385.694516,5475.700908,4075.98157,4454.146771,4445.052027,3403.072279,4213.25414,4538.933876,4941.222453,4224.872826,4890.989769,3925.424437,4194.019534,4196.266547,4366.250244,4107.639054,4171.19028,15.4264538,0.086638081,3.599543503,8.803280435
LP0036,579.5337758,12.825475,4893.067277,3963.455301,4844.5024,5060.567275,5766.915588,4608.950096,4749.837623,5527.800533,4128.226316,4575.599588,4527.988291,4765.340947,4024.397462,4863.051406,4031.641458,4448.706539,4350.654015,4880.421176,4013.555028,4435.837242,17.72415347,3.040208622,2.151382514,3.536680806
LP0037,578.622199,14.86238333,2326.964377,1659.08304,1939.214718,2450.239412,2132.90314,1604.65864,1946.016559,2173.446001,1556.644488,2035.018734,1716.324833,1906.711492,1504.533916,1942.880379,1527.881434,1572.129,1527.675434,1548.07196,1796.609862,1422.118099,11.32478935,0,0,0
