FeatureID,mzmed,rtmed,L1,L2,L3,L4,L5,L6,L7,L8,L9,NL1,NL2,NL3,NL4,NL5,NL6,NL7,NL8,NL9,NL10,NL11,Blank_1,Blank_2,Blank_3,Blank_4
MN0011,141.0176,5.717,14992.87172,14773.91718,14918.58156,14843.17006,17019.91701,14661.29245,16210.93572,16018.13789,15309.71058,14969.58839,13786.41601,14513.22632,15052.76033,17250.47552,15973.86774,14530.55418,16327.98201,13737.51871,16573.51541,15804.94094,76.50891669,111.8169966,86.37826524,80.81674231
MN0012,146.046,6.733,293.6999837,334.5080233,266.6696478,252.4953138,367.6911851,313.2882099,367.2320923,431.8581313,355.2486754,251.3770198,266.2441339,260.7540817,271.6225877,294.0830021,267.6882102,260.4492306,300.5894285,237.3822937,315.6028454,258.4987973,9.795781764,10.45880349,8.449407879,7.721145142
MN0013,146.0461,6.467,733.8074901,814.1116413,838.0873071,711.9835958,996.2589401,994.7597691,1074.175341,1192.707734,926.4864162,622.0309913,840.1086247,781.4747788,562.9519842,693.5885489,613.7389694,474.3725764,670.9474775,579.9339527,764.1458648,655.9880746,8.6826094,11.75088815,11.73554875,11.47685409
MN0014,151.0265,1.517,2955.679679,2498.110501,2116.455812,2776.850585,3290.961052,3485.067785,4086.814969,5300.603948,4029.783367,2332.931315,1497.547488,624.3377444,1064.52137,1543.05781,1006.220924,942.7782521,1090.471609,3036.285007,2627.845383,1818.614359,7.972015805,6.103365474,5.376123895,5.921501839
MN0015,156.991,5.367,1051.161849,1513.908557,1322.415578,1405.386392,1719.897909,1629.907518,2350.931367,2994.657204,2190.50639,1481.483394,1442.17308,591.3724678,565.8596112,1079.916542,547.3987282,465.3920529,632.0993666,1827.053869,1666.485044,1371.177289,13.92550369,18.70694679,16.86271507,16.03949658
MN0016,191.0202,7.8,5383.068177,9895.174634,3191.357909,7468.102087,8399.044708,6364.891109,5275.030757,8076.518448,7439.509873,7654.551266,10815.50405,1147.597212,2961.792425,4730.078599,3481.009252,2533.269145,2786.280996,9348.888703,8078.5344,6332.035566,329.5841647,519.2921431,647.5610906,462.6299901
MN0017,223.0208,5.717,5543.918909,5695.322349,5665.852382,5657.151367,6507.200223,5751.622604,6324.291294,6184.427178,5991.679963,5712.966975,5720.751842,5500.871439,5690.618613,6795.177912,6316.058854,5444.388322,6446.771162,5195.327393,6462.723429,6030.328105,16.9445059,18.22727757,16.7548514,15.55031223
MN0018,234.9234,8.033,175.9453738,150.0993048,200.0644312,159.6920948,182.3165858,223.2206666,166.717258,181.9619996,223.6790486,155.1574696,179.2032561,261.0487052,177.7034064,204.7592925,191.9553673,314.3493949,209.1965743,150.5282392,166.7551648,162.0323064,122.2105038,200.5192138,183.5732277,189.9217471
MN0019,234.9237,17.9,1310.218624,1523.493527,930.0612338,842.7772556,1539.354424,578.6849718,1488.047673,1165.580791,6998.789799,1295.976239,804.5750695,1371.652471,1384.188472,1016.254145,1216.827159,1736.34455,1276.28243,1470.893219,852.577615,1964.029399,448.0568018,1059.327754,1349.421734,2048.823603
MN0020,234.9239,10.05,1274.341439,1358.130506,1352.463972,1643.492142,1384.59422,1724.132683,3371.229127,4364.414132,4420.277514,1275.916768,1168.605166,1016.752777,1857.212463,1714.606553,2068.179905,1207.27142,1681.549663,1247.668443,1592.715287,1031.919674,1931.03947,1187.272462,1511.343939,1446.4523
MN0021,234.9239,10.65,5134.022566,3553.555396,1206.514164,3128.094316,4548.668521,2863.822112,3641.019658,2085.315286,2273.882284,4997.700896,2266.834754,1072.24171,1107.993583,2160.435969,1695.432053,5328.354117,7625.071192,3133.555134,3271.856349,4285.32593,3256.212754,1625.695581,2796.572767,1231.581358
MN0022,234.9239,11.383,6206.366688,1411.027291,1831.741098,4088.562964,2062.161352,3489.873683,8106.856622,2362.492593,2080.704183,5219.873637,3766.286667,3542.782431,2595.211048,2831.024374,2245.310634,5164.681761,1790.319891,2516.046159,7456.269491,3220.307969,1696.35216,2418.217274,2425.381757,5048.981526
MN0023,234.924,11.9,2689.763429,1938.492581,4443.458924,5522.084322,4637.415204,3489.268311,1798.89983,1902.567848,1377.339136,3774.312073,4015.528548,2310.745145,2587.952466,6239.054601,4250.416972,1779.146964,2441.101019,2112.656005,3322.614257,2265.705142,2134.736757,3220.118444,4657.565177,1219.698786
MN0024,234.924,12.333,2198.989059,2445.866123,2513.058249,2051.051228,2488.839117,5689.299045,4040.700513,3683.205035,3303.811267,2960.439925,2252.560275,4118.70165,557.0269632,2935.699955,3475.863799,2668.036922,2430.297506,2358.589912,4567.562507,2254.43422,1771.143822,1483.455874,2237.854122,2873.451727
MN0025,234.924,12.683,8412.44453,3979.173423,3415.756208,4317.817768,2926.399444,1992.193598,3146.736695,3257.610559,1977.940021,2423.840748,2502.742608,4208.667857,2561.77329,4784.397212,2683.588561,3121.54686,3314.997073,2950.940919,3081.75109,5616.314722,1965.200321,2634.008288,244.1148744,718.3744411
MN0026,234.924,16.917,1705.398145,3218.156504,3152.242729,1624.908026,5278.959603,2843.330191,3981.383711,1493.232177,6368.016262,2120.191532,2584.85232,2436.23176,2225.725581,2421.156444,8741.121577,3556.202185,2226.36163,3159.666987,2282.062426,1988.74328,1508.863751,1491.17038,2316.475473,5693.371156
MN0027,234.9241,12.983,2511.722923,6137.266137,3228.873005,6786.564606,1669.776923,4721.864333,5122.111677,2390.224833,2115.233299,7060.244227,4269.30295,1834.654372,262.6940468,3892.422612,456.8742498,3189.916316,5119.736678,2610.452576,3310.098026,2608.592432,1573.2431,3422.979328,1838.680367,2369.589113
MN0028,234.9241,13.333,5215.161033,3321.759436,9442.570887,3336.12886,6207.329642,12890.26153,3293.712193,2968.035616,2208.62988,1993.164808,1631.539281,4054.748651,4430.043269,3182.573022,4012.986668,2531.375163,2112.458217,3287.221856,2287.153189,1955.551954,3445.888513,4246.462411,4854.613417,2451.927518
